id,name,function,area
rec0v2TLdfyRmnLZR,Miro,Plan,Social
rec2bWQ6LrtBnQDzR,PicsArt,Design,Production
rec2xazhtE9fPt1R8,Modes and Routines,Schedule,Life
rec2zxI7xYNm4MLvP,Microsoft 365 Security,,
rec3JZFoekOia5BzA,Dreamweaver,,
rec4eBTiweDuRFSV4,Github,,
rec5Hqoxy5ZSVnelZ,Facebook,Market,Social
rec5fkGE5Q51JtcHH,Canva,Design,Production
rec6KwvTDB71yZgqD,Adobe Photoshop,Design,Production
rec6yojDbDtKajzEp,Google Drive,Record,Admin
rec7IZbW7709HtVzC,Google Clock,Schedule,Admin
rec7axeompr5K6xMq,TickTick,Manage,Admin
rec7pW9JVxK32WmYL,ClickUp,Manage,Admin
rec956Rhx9cI3PlPB,Microsoft OneDrive,Record,Admin
rec9lyWNS3xy9NeSH,Microsoft Money,,
recA5sAVpU9b3DPjt,Google Assistant,Manage,Life
recAphsBGMvhk2BrP,LinkedIn,Network,Career
recBCqqZjRIpW4CMf,Routinery,Schedule,Life
recBP4lG8dpUO8mcd,Everything,Manage,Admin
recBmFDTiXjaujy7V,Google Photos,Design,Admin
recCLyP0PX3DDPjdz,Excel,,
recChSTmB10LxzzXP,Google Calendar,Plan,Admin
recCkoNjIBRV34CmL,Alexa,Manage,Life
recDBzZdJEgevhaTG,Grammarly,Produce,Production
recEHAKaSu5v2g5gb,Wordpress,Engage,Social
recEW1gyI667f1P1W,Make.Com,,
recFDpzyvgvv67e3x,Distrokid,,
recFslCbMZbZv3GsS,Airtable,Manage,Admin
recFtzorAugroc8vF,Microsoft OneNote,Record,Admin
recGltckwhXuFKrFH,Claude,Develop,Admin
recHYgeZumv9wV147,Microsoft Power BI,Monitor and Control,Business
recHZh0NnHLP9bN3v,Google Gmail,Engage,Social
recI4MPKsw5bPrRcD,Snapchat,Engage,Social
recInhT0AxmxJEdFY,Notion,Record,Production
recJqzHZHM96HvVlg,WhatsApp,Engage,Social
recK4LvEXLGBZdmHA,Bing AI,Research,Admin
recL1GDgPVNPkSHCb,Trello,Engage,Production
recLbY9BuZ5t6yHZv,Onedrive,,
recLhbQIMhAoOh2X7,Samsung Devices,,
recLlCyTs7crGS9R2,Photoleap,Design,Production
recLphAjYJz3vC6NM,Microsoft 365,,
recM3GzDT6ikDsVsy,Bard,Develop,Production
recMT38BGRyhgfYBF,Google Home Devices,,
recMb3Er74i4Bbze4,Adobe Firefly,Design,Production
recOuuS01I1aCTeNy,YouTube,Research,Education
recOwYI1617nVA5iv,Amazon Echo Devices,,
recPFdKZH07T839U4,Slack,,
recPHY1eyBxogT5EQ,Twitter,Network,Social
recPziJNIG9mnwUbp,iCloud,Record,Admin
recRNvkt8L3gvlLSz,YouCam Makeup,Design,Production
recRUKiwggz0BOO2e,Adobe Audition,Produce,Production
recS4dikpvvWuW1oh,Google Nest,Manage,Life
recSaYrg8Kiz9kRn3,Microsoft Designer,Design,Production
recVKpmFPSHF7m5jD,Vivaldi Browser,Research,Admin
recX4n2A8zS6JGno1,Fiverr,,
recX7c415JFCAh1r8,Windows,,
recXDYBRWEobKEwMQ,Proxmox,Manage,Admin
recXbczvo0ycxkBwj,Hubspot,,
recY5c0uGqEn7xnF0,Power Bi,,
recYTHa2UYXcaWz8Z,Web,,
recYcFOv22Kl0xGnT,Pinterest,Research,Education
recZ6LblhuuqWcoUR,Google Keep,Record,Admin
recZCK84mCGsa8OTC,ChatGPT,Research,Admin
recZzv1YcS5qzTsZz,Google Meet,,
recbXdnP5bYLMOPTe,iOS,,
recd9PRzq5bXHwfjf,Google Admin Console,Manage,Business
recdHHnRPCwEWtXpl,Google Voice,Engage,Social
receSxTpoWQlz6Xgt,Linux,,
receYXDVfnKBZBgsQ,Visual Studio Code,Design,Production
recgC8BqcSxfg5anB,macOS,,
recgLyyoFz3lJroC0,Slideshare,Research,Education
rechdS81GtP0RwJCR,Calm,Develop,Life
reckSQPaRD2O5vz94,Microsoft Word,Produce,Production
reckV5RTUS8clPYwn,Android,,
recl64OIq3KbcL2Lt,Instagram,Market,Social
recn1VnMykWrnItPg,Figma,Design,Production
recnFm48ELioHvK0w,Microsoft Azure,Engage,Admin
recoUsSt6I6Nlmd6K,Microsoft Planner,,
recpYluP7S0fvG3sb,Whimsical,Plan,Admin
recq8jdES5AmRsKAm,Scribd,Research,Education
recqfnsxP3wbH3MCK,Hootsuite,,
recr9inFb9uEiKzJF,Airtable Forms,Engage,Admin
recrVujcDLCBf3j1p,Microsoft Outlook,Engage,Social
recsAefhcgf0QZSag,Mem.Ai,Record,Production
recsIDZe3y6cglta0,Microsoft Teams,,
rect5XusydD15Grlv,Google Task,,
recv0pAtd5Rf21wna,Microsoft Excel,Manage,Admin
recvk2hWPMlewukho,Zoom,,
recwKLEyNHiX8k97S,Bixby,Manage,Life
recwqacY3EePlc1ZP,Ableton,Produce,Production
recwyIMmUXM3S2jlM,Confluence,,
recxfO5i2K6BlGGk0,Duolingo,Research,Education
recyCnsHjQ8iu5vx0,Shopify,Sale,Social
reczBxU3EiQUcOby4,LinkedIn Learning,Research,Education
